round,divergence,accuracy_%,loss,strategy
1,0.0,71.1556,0.811464,FedAvg
5,0.071583,79.1629,0.60827,FedAvg
10,0.07162,80.4368,0.573952,FedAvg
15,0.071681,80.0728,0.565462,FedAvg
20,0.069488,81.8016,0.55491,FedAvg
25,0.070334,81.8926,0.566874,FedAvg
30,0.0718,82.4386,0.561318,FedAvg
35,0.07221,80.8917,0.596329,FedAvg
40,0.053905,80.8917,0.57795,FedAvg
