round,divergence,accuracy_%,loss,strategy
1,0.0,98.7312,0.326127,FedAvg
5,0.061803,99.4449,0.364988,FedAvg
10,0.04912,99.6828,0.336203,FedAvg
15,0.045887,99.7621,0.32554,FedAvg
20,0.040373,99.7621,0.319443,FedAvg
25,0.035483,99.6828,0.322269,FedAvg
30,0.047705,99.7621,0.323003,FedAvg
35,0.04083,99.7621,0.315738,FedAvg
40,0.041976,99.6828,0.321564,FedAvg
